Title,Author,Series,Status,Privacy,Hardcover Book ID,Hardcover Edition ID,ISBN 10,ISBN 13,ASIN,Media,Country Code,Language Code,Binding,Pages,Duration in Seconds,Publish Date,Publisher,Genres,Moods,Tags,Content Warnings,Lists,Date Added,Date Started,Date Finished,Rating,Review,Review Contains Spoilers,Sponsored Review,Review Date,Review URL,Review Media URL,Private Notes,Owned,Compilation,Review Slate
Circle of Desire,Carla Swafford,The Circle Series (#1.0),Read,Public,2035889,30400232,0062117807,9780062117793,,Book,us,en,,,,2011-01-01,Avon Impulse,,,,,"",2016-05-05,"",2016-05-13,4.0,,false,false,2016-05-13T00:00:00Z,,,,false,No,{}
In the Darkness,Mike Omer,Zoe Bentley Mystery (#2.0),Read,Public,580071,30544405,,,,Book,,,,,,2019-06-25,,,,,,"",2022-04-07,"",2022-04-07,4.0,,false,false,2022-04-07T00:00:00Z,,,,false,No,{}
Chase Darkness with Me,Billy Jensen,,Read,Public,519301,30472313,1492685852,9781492685852,,Book,,,,309,,2019-01-01,,,,,,"",2020-01-22,"",2020-01-22,5.0,,false,false,2020-01-22T00:00:00Z,,,,false,No,{}
The Alchemist,Paulo Coelho,,Read,Public,337236,30399646,0062315005,9780062315007,,Ebook,us,en,,181,,2014-04-14,HarperOne,,,,,"",2020-05-06,"",2020-05-06,5.0,,false,false,2020-05-06T00:00:00Z,,,,false,No,{}
I Am Pilgrim,Terry Hayes,,Read,Public,26754,30402700,1439177724,9781439177723,,Book,us,en,,624,,2013-07-18,Simon & Schuster,,,,,"",2015-11-11,"",2015-11-11,5.0,,false,false,2015-11-11T00:00:00Z,,,,false,No,{}
Broken Harbor,Tana French,Dublin Murder Squad (#4.0),Read,Public,24912,30404978,0143123300,9780143123309,,Book,gb,en,,480,,2012-07-02,Penguin,,,,,"",2018-02-06,"",2018-06-04,4.0,,false,false,2018-06-04T00:00:00Z,,,,false,No,{}
God Is Not Great: The Case Against Religion,Christopher Hitchens,,Read,Public,50610,1289340,0446579807,9780446579803,,Book,us,en,,307,,2007-01-01,"Hachette Digital, Inc.",,,,,"",2014-12-15,"",2014-12-15,5.0,,false,false,2014-12-15T00:00:00Z,,,,false,No,{}
Lying,Sam Harris,,Read,Public,434372,30405859,1940051010,9781940051017,,Book,,,,105,,2013-10-23,,,,,,"",2014-12-15,"",2014-12-15,4.0,,false,false,2014-12-15T00:00:00Z,,,,false,No,{}
Animal Farm,"George Orwell, C.M. Woodhouse (Introduction), Russell Baker (Preface by)",,Read,Public,356467,21164674,0452277507,9780452277502,,Book,us,en,,95,,1945-08-17,Penguin,,,,,"",2014-12-15,"",2014-12-15,5.0,,false,false,2014-12-15T00:00:00Z,,,,false,No,{}
Mr Mercedes,Stephen King,Bill Hodges Trilogy (#1.0),Want to Read,Public,173,8226283,9024564670,9789024564675,,Audio,de,de,,405,,2014-01-01,Scribner,,,,,"",2015-12-22,"","",,,false,false,,,,,false,No,{}
1984,George Orwell,,Read,Public,379760,18915554,0452262933,9780452262935,,Book,us,en,,336,,1983-04-01,Penguin Publishing Group,,,,,"",2014-12-15,"",2014-12-15,5.0,,false,false,2014-12-15T00:00:00Z,,,,false,No,{}
Watchmen,"Alan Moore, Dave Gibbons (Art)",Watchmen,Want to Read,Public,308,23102975,8467473274,9788467473278,,Ebook,us,en,,448,,1987-01-01,DC Comics,,,,,"",2013-08-10,"","",,,false,false,,,,,false,No,{}
Broken,Don Winslow,,Read,Public,476626,30398021,0062988913,9780062988911,,Book,us,en,,352,,2020-10-07,,,,,,"",2022-04-23,"",2022-04-23,3.0,,false,false,2022-04-23T00:00:00Z,,,,false,No,{}
Deadly Waters,Dot Hutchison,Rebecca Sorley (#1.0),Read,Public,440690,27514741,1542005574,9781542005579,,Book,,,,302,,2020-09-01,,,,,,"",2023-05-14,"",2023-07-03,4.0,,false,false,2023-07-03T00:00:00Z,,,,false,No,{}
